Frame,Landmark X,Landmark Y,Confidence
1,265,433,0.968788206577301
1,286,417,0.9577019214630127
1,293,417,0.9494777321815491
1,299,417,0.9644678831100464
1,268,418,0.9736915826797485
1,264,419,0.9776506423950195
1,260,420,0.9848174452781677
1,321,426,0.9730098843574524
1,263,434,0.9693508148193359
1,275,457,0.8714409470558167
1,259,455,0.8846064805984497
1,362,570,0.894214928150177
1,235,584,0.8126861453056335
1,373,694,0.025293277576565742
1,306,701,0.0022353949025273323
1,312,628,0.0027160185854882
1,270,610,0.0012636074097827077
1,302,616,0.00709914043545723
1,261,592,0.004040976520627737
1,296,599,0.009279347024857998
1,235,518,0.006029537413269281
1,301,605,0.009387126192450523
1,239,498,0.006648669950664043
1,403,1065,0.012252875603735447
1,303,1056,0.012056028470396996
1,473,1101,0.00023023018729873002
1,231,979,6.843944720458239e-05
1,435,1396,0.00013532360026147217
1,224,1315,6.0235535784158856e-05
1,454,1453,0.0009230095893144608
1,231,1383,0.0004219785623718053
1,340,1391,0.0002749853301793337
1,207,1311,0.0001201149498228915
2,273,433,0.967139482498169
2,293,417,0.9534196257591248
2,304,416,0.9456803202629089
2,315,416,0.9613785743713379
2,269,418,0.9699984788894653
2,264,419,0.9742004871368408
2,260,420,0.9814450144767761
2,341,427,0.9708839654922485
2,258,436,0.9638846516609192
2,294,458,0.8663985729217529
2,265,458,0.874899685382843
2,410,563,0.8947338461875916
2,216,583,0.8012768626213074
2,457,653,0.03269178420305252
2,201,700,0.002838411368429661
2,375,583,0.0050309752114117146
2,216,603,0.001581584452651441
2,358,568,0.01121725793927908
2,220,580,0.004737272392958403
2,347,549,0.014498741365969181
2,215,537,0.006944941356778145
2,352,559,0.013578206300735474
2,217,543,0.007509284652769566
2,403,1055,0.012209336273372173
2,271,1032,0.011844892986118793
2,417,1178,0.0002703974605537951
2,216,956,0.00013266562018543482
2,427,1480,0.00017892349569592625
2,204,1333,9.261808008886874e-05
2,452,1529,0.0009860113495960832
2,212,1400,0.0005007481668144464
2,338,1521,0.0003518596931826323
2,183,1390,0.0001735229161567986
3,274,433,0.9682314991950989
3,294,416,0.9537754058837891
3,304,416,0.9466148614883423
3,316,416,0.96158367395401
3,270,418,0.9701538681983948
3,264,419,0.9744833111763
3,260,420,0.9813457131385803
3,345,428,0.971138060092926
3,257,437,0.9642112851142883
3,297,458,0.8692506551742554
3,268,459,0.8763869404792786
3,417,561,0.8951191306114197
3,211,578,0.8018902540206909
3,479,654,0.03833906725049019
3,207,693,0.004086620640009642
3,393,592,0.005977292079478502
3,226,587,0.0022498182952404022
3,374,577,0.012876391410827637
3,227,499,0.006097567733377218
3,362,559,0.016567206010222435
3,219,523,0.008748110383749008
3,367,568,0.015298891812562943
3,222,522,0.009237265214323997
3,399,1040,0.012451499700546265
3,254,1011,0.012107966467738152
3,410,1211,0.0003485990746412426
3,217,952,0.0002910335606429726
3,423,1508,0.0002426761348033324
3,199,1357,0.0001753052929416299
3,449,1556,0.0010703870793804526
3,204,1430,0.0006554262945428491
3,333,1545,0.0004677152319345623
3,181,1415,0.0003095567226409912
4,285,435,0.9671735763549805
4,300,419,0.9502913951873779
4,311,419,0.9427210688591003
4,322,419,0.9585938453674316
4,277,422,0.9679133892059326
4,271,423,0.9723999500274658
4,265,425,0.9797113537788391
4,347,434,0.9683906435966492
4,259,444,0.9614853262901306
4,307,462,0.862456738948822
4,279,464,0.8676245808601379
4,427,562,0.8906286954879761
4,211,578,0.7978714108467102
4,491,649,0.03868754580616951
4,210,686,0.005429355427622795
4,391,589,0.006046187598258257
